Solution found at iteration: 2, during 8 restart.	Solution is: [1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1]
Solution found at iteration: 1, during 4 restart.	Solution is: [1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1]
Solution found at iteration: 2, during 3 restart.	Solution is: [1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1]
Solution found at iteration: 0, during 7 restart.	Solution is: [0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0]
Solution found at iteration: 1, during 4 restart.	Solution is: [1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1]
Solution found at iteration: 1, during 1 restart.	Solution is: [0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0]
Solution found at iteration: 1, during 6 restart.	Solution is: [0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0]
Solution found at iteration: 2, during 0 restart.	Solution is: [1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1]
Solution found at iteration: 1, during 6 restart.	Solution is: [1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1]
Solution found at iteration: 1, during 3 restart.	Solution is: [1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1]
Solution found at iteration: 1, during 5 restart.	Solution is: [0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0]
Solution found at iteration: 1, during 7 restart.	Solution is: [0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0]
Solution found at iteration: 1, during 4 restart.	Solution is: [1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1]
Solution found at iteration: 1, during 4 restart.	Solution is: [0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 0]
Solution found at iteration: 2, during 5 restart.	Solution is: [1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1]
