"########### GSAT 0, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus 0, File uf20-020.cnf ###########",,,,,
Iteration,44871,Duration,16.79396057,,
"########### GSAT 0, File uf20-021.cnf ###########",,,,,
"########### Novelty Plus 0, File uf20-021.cnf ###########",,,,,
"########### GSAT 1, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,27940,Duration,10.60160637,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT 2, File uf20-020.cnf ###########",,,,,
Iteration,4,Restart,9,Duration,28.79264688
"########### Novelty Plus 2, File uf20-020.cnf ###########",,,,,
"########### GSAT 2, File uf20-021.cnf ###########",,,,,
Iteration,4,Restart,0,Duration,0.014000654
"########### Novelty Plus 2, File uf20-021.cnf ###########",,,,,
"########### GSAT 3, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus 3, File uf20-020.cnf ###########",,,,,
Iteration,94841,Duration,35.61403704,,
"########### GSAT 3, File uf20-021.cnf ###########",,,,,
"########### Novelty Plus 3, File uf20-021.cnf ###########",,,,,
"########### GSAT 4, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus 4, File uf20-020.cnf ###########",,,,,
Iteration,40654,Duration,15.44288325,,
"########### GSAT 4, File uf20-021.cnf ###########",,,,,
"########### Novelty Plus 4, File uf20-021.cnf ###########",,,,,
"########### GSAT 5, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus 5, File uf20-020.cnf ###########",,,,,
"########### GSAT 5, File uf20-021.cnf ###########",,,,,
"########### Novelty Plus 5, File uf20-021.cnf ###########",,,,,
"########### GSAT 6, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus 6, File uf20-020.cnf ###########",,,,,
Iteration,13062,Duration,4.98328495,,
"########### GSAT 6, File uf20-021.cnf ###########",,,,,
"########### Novelty Plus 6, File uf20-021.cnf ###########",,,,,
"########### GSAT 7, File uf20-020.cnf ###########",,,,,
"########### Novelty Plus 7, File uf20-020.cnf ###########",,,,,
Iteration,571,Duration,0.235013485,,
"########### GSAT 7, File uf20-021.cnf ###########",,,,,
"########### Novelty Plus 7, File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
Iteration,1,Restart,0,Duration,0.004000187
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,19288,Duration,7.170410156,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,32901,Duration,12.3207047,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,95186,Duration,35.95905685,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
Iteration,5,Restart,9,Duration,29.42268276
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
Iteration,6,Restart,7,Duration,23.03931785
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,72489,Duration,27.51957417,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,89949,Duration,33.97994328,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
Iteration,4,Restart,1,Duration,3.433196306
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,8137,Duration,3.040174007,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,95654,Duration,36.41708279,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,97529,Duration,36.62909508,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
"########### GSAT , File uf20-020.cnf ###########",,,,,
"########### Novelty Plus , File uf20-020.cnf ###########",,,,,
Iteration,7365,Duration,2.826161861,,
"########### GSAT , File uf20-021.cnf ###########",,,,,
"########### Novelty Plus , File uf20-021.cnf ###########",,,,,
